YR,MON,YR+MON,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3
1982,1,1982.0833333333333,24.29,-0.17,25.87,0.24,28.3,0.0,26.72,0.15
1982,2,1982.1666666666667,25.49,-0.58,26.38,0.01,28.21,0.11,26.7,-0.02
1982,3,1982.25,25.21,-1.31,26.98,-0.16,28.41,0.22,27.2,-0.02
1982,4,1982.3333333333333,24.5,-0.97,27.68,0.18,28.92,0.42,28.02,0.24
1982,5,1982.4166666666667,23.97,-0.23,27.79,0.71,29.49,0.7,28.54,0.69
1982,6,1982.5,22.89,0.07,27.46,1.03,29.76,0.92,28.75,1.1
1982,7,1982.5833333333333,22.47,0.87,26.44,0.82,29.38,0.58,28.1,0.88
1982,8,1982.6666666666667,21.75,1.1,26.15,1.16,29.04,0.36,27.93,1.11
1982,9,1982.75,21.8,1.44,26.52,1.67,29.16,0.47,28.11,1.39
1982,10,1982.8333333333333,22.94,2.12,27.11,2.19,29.38,0.72,28.64,1.95
1982,11,1982.9166666666667,24.59,3.0,27.62,2.64,29.23,0.6,28.81,2.16
1982,12,1983.0,26.13,3.34,28.39,3.25,29.15,0.66,29.21,2.64
1983,1,1983.0833333333333,27.42,2.96,28.92,3.29,29.0,0.7,29.36,2.79
1983,2,1983.1666666666667,28.09,2.02,28.92,2.55,28.79,0.69,29.13,2.41
1983,3,1983.25,28.68,2.16,29.1,1.96,28.76,0.57,29.03,1.81
1983,4,1983.3333333333333,28.56,3.09,29.12,1.62,28.85,0.35,28.91,1.13
1983,5,1983.4166666666667,28.19,3.99,28.97,1.89,29.08,0.29,28.89,1.04
1983,6,1983.5,27.44,4.62,28.15,1.72,28.88,0.04,28.24,0.59
1983,7,1983.5833333333333,25.95,4.35,26.62,1.0,28.65,-0.15,27.07,-0.15
1983,8,1983.6666666666667,23.78,3.13,25.87,0.88,28.38,-0.3,26.53,-0.29
1983,9,1983.75,22.24,1.88,25.24,0.39,28.23,-0.46,26.44,-0.28
1983,10,1983.8333333333333,21.86,1.04,24.61,-0.31,27.75,-0.91,25.87,-0.82
1983,11,1983.9166666666667,21.9,0.31,24.17,-0.81,27.76,-0.87,25.58,-1.07
